Load	Displacement
(lb)	(in)
-2.409269975	0.0004
-2.411765962	0.0006
-2.411765962	0.0008
-2.406774699	0.0006
-2.420083785	0.0005
-2.420915781	1E-04
-2.418419794	0.0006
-2.411765962	0.0005
-2.425074337	0.0006
-2.428401609	0.0007
-2.409269975	0.0005
-2.410933966	1E-04
-2.415092523	0.0005
-2.415092523	0.0004
-2.423411057	0.0007
-2.422579061	1E-04
-2.404279423	0.0008
-2.405111419	0.0003
-2.433392161	0.0005
-2.433392161	0.0005
-2.417587799	0.0005
-2.414261238	0.0007
-2.41925179	0.0008
-2.424242342	0.0007
-2.407606695	0.0003
-2.409269975	0.0009
-2.414261238	0.0004
-2.425074337	0.0006
-2.406774699	0.0007
-2.412597247	0.0002
-2.415924518	0.0005
-2.423411057	0.0006
-2.405942704	0.0009
-2.409269975	0.0006
-2.425074337	0.0008
-2.415924518	0.0005
-2.418419794	0.0004
-2.412597247	0.0009
-2.421747066	0.0005
-2.427570324	0.001
-2.398456876	0.0006
-2.422579061	0.0005
-2.417587799	0.0005
-2.430064889	0.0004
-2.420083785	0.0003
-2.422579061	0.0007
-2.429233604	0.0007
-2.399288871	0.0003
-2.426738328	0.0005
-2.412597247	0.0004
-2.415092523	0.0004
-2.413429242	0.0007
-2.399288871	0.0003
-2.405942704	0.0007
-2.421747066	0.0005
-2.399288871	0.0004
-2.417587799	0.0005
-2.409269975	0.0004
-2.414261238	0.0003
-2.422579061	0.0003
-2.421747066	1E-04
-2.412597247	0.0004
-2.415924518	0.0006
-2.43172888	0
-2.430064889	0.0005
