SI Load [lb]	SI Stroke [in]
-50.2907	-1.593
-53.5724	-1.5942
-51.9315	-1.5937
-51.4627	-1.5953
-50.7595	-1.5944
-56.1508	-1.596
-50.5251	-1.5959
-51.3455	-1.596
-50.6423	-1.596
-52.0487	-1.5945
-51.5799	-1.596
-53.1035	-1.5965
-52.2831	-1.597
-50.6423	-1.596
-52.2831	-1.5957
-52.0487	-1.598
-52.2831	-1.598
-53.5724	-1.5975
-52.2831	-1.5983
-52.9863	-1.598
-53.5724	-1.5964
-52.7519	-1.5975
-52.5175	-1.5967
-55.682	-1.5964
-53.6896	-1.5973
-51.9315	-1.5979
-53.8068	-1.5979
-52.1659	-1.6
-53.2207	-1.6
-55.7992	-1.5987
-53.6896	-1.599
-53.4551	-1.5977
-52.1659	-1.5997
-53.1035	-1.5985
-54.7444	-1.5985
-55.9164	-1.599
-53.2207	-1.5985
-52.9863	-1.6002
-53.3379	-1.5992
-53.8068	-1.5995
-53.3379	-1.6011
-52.4003	-1.5998
-54.0412	-1.5999
-54.0412	-1.6021
-53.924	-1.6007
-53.1035	-1.5997
-54.1584	-1.6023
-54.7444	-1.6005
-53.2207	-1.6021
-53.924	-1.6021
-54.1584	-1.6031
-56.854	-1.6041
-54.3928	-1.6017
-55.9164	-1.6032
-54.0412	-1.6022
-56.854	-1.6026
-55.4476	-1.6041
-55.096	-1.6041
-54.9788	-1.6042
-54.1584	-1.6029
-57.0884	-1.6036
-54.2756	-1.6056
-55.2132	-1.6036
-56.1508	-1.6056
-56.268	-1.6046
-54.6272	-1.6048
-54.51	-1.6043
-54.6272	-1.6048
-58.7293	-1.6046
-59.0809	-1.6037
-55.4476	-1.6049
-56.854	-1.6061
-55.7992	-1.6049
-55.096	-1.6058
-56.854	-1.6081
-55.2132	-1.6071
-54.51	-1.6052
-54.2756	-1.6062
-55.7992	-1.6076
-56.854	-1.6091
-56.7368	-1.6078
-56.854	-1.6064
-55.7992	-1.6074
-56.5024	-1.6081
-57.6745	-1.6082
-56.3852	-1.6081
-55.7992	-1.6089
-60.6045	-1.6081
-56.854	-1.6078
-55.9164	-1.6078
-59.4325	-1.6103
-55.7992	-1.6106
-56.9712	-1.6084
-58.7293	-1.6087
-58.6121	-1.6099
-56.0336	-1.6098
-58.4949	-1.6101
-59.6669	-1.6106
-56.5024	-1.6102
-57.4401	-1.6093
-57.9089	-1.6097
-57.3229	-1.6087
-57.9089	-1.6099
-56.7368	-1.6089
-56.0336	-1.6101
-55.7992	-1.6097
-55.5648	-1.6106
-56.9712	-1.6096
-57.5573	-1.6103
-56.9712	-1.6117
-59.4325	-1.6104
-57.7917	-1.6103
-56.1508	-1.6118
-58.2605	-1.6099
-57.2056	-1.6107
-57.0884	-1.6087
-57.9089	-1.6103
-58.0261	-1.6111
-55.9164	-1.6116
-57.2056	-1.6092
-56.6196	-1.6096
-57.7917	-1.6094
-57.6745	-1.6099
-56.9712	-1.6111
-58.1433	-1.6103
-56.1508	-1.6102
-56.3852	-1.6082
-58.0261	-1.6108
-56.0336	-1.6094
-58.7293	-1.6106
-57.5573	-1.6088
-58.2605	-1.6116
-57.2056	-1.6104
-54.6272	-1.6089
-62.011	-1.6094
-58.9637	-1.6111
-56.7368	-1.6089
-56.9712	-1.6106
-57.3229	-1.6093
-56.7368	-1.6107
-58.9637	-1.6092
-56.9712	-1.6108
-58.4949	-1.6111
-58.0261	-1.6087
-57.3229	-1.6121
-56.0336	-1.6097
-58.2605	-1.6103
-57.6745	-1.6121
-58.4949	-1.6101
-55.9164	-1.6106
-56.1508	-1.6092
-55.3304	-1.6101
-56.854	-1.6106
-54.7444	-1.6094
-56.0336	-1.6101
-56.3852	-1.6091
-59.6669	-1.6091
-55.5648	-1.6071
-56.854	-1.6062
-55.7992	-1.6092
-55.9164	-1.6081
-56.3852	-1.6091
-55.096	-1.6081
-55.5648	-1.6086
-54.8616	-1.6073
-55.096	-1.6068
-56.6196	-1.6079
-56.268	-1.6066
-57.2056	-1.6058
-56.854	-1.6076
-55.9164	-1.6059
-56.3852	-1.6061
-56.3852	-1.6068
-55.096	-1.6046
-58.3777	-1.6049
-54.8616	-1.6051
-53.2207	-1.6059
-55.4476	-1.6054
-56.854	-1.6034
-55.4476	-1.6056
-55.9164	-1.6032
-54.2756	-1.6053
-54.6272	-1.6056
-54.7444	-1.6036
-54.51	-1.6041
-56.5024	-1.6046
-56.3852	-1.6034
-54.0412	-1.6031
-55.4476	-1.6031
-54.51	-1.6036
-54.8616	-1.6029
-54.3928	-1.6017
-56.854	-1.6017
-54.0412	-1.6031
-54.6272	-1.6038
-54.0412	-1.6026
-55.3304	-1.6013
-54.51	-1.6026
-55.2132	-1.6021
-54.1584	-1.6011
-54.9788	-1.6012
-53.2207	-1.6009
-53.4551	-1.6013
-53.924	-1.6007
-53.4551	-1.6027
-53.1035	-1.6023
-54.9788	-1.6011
-53.6896	-1.5997
-52.4003	-1.6
-53.4551	-1.6013
-52.7519	-1.5998
-55.2132	-1.5995
-53.6896	-1.5989
-53.2207	-1.6007
-52.9863	-1.5983
-52.0487	-1.5985
-52.2831	-1.597
-52.0487	-1.5992
-56.0336	-1.5972
-52.0487	-1.5972
-53.1035	-1.5985
-53.3379	-1.5963
-53.2207	-1.5978
-52.1659	-1.597
-54.2756	-1.5973
-52.6347	-1.5973
-52.0487	-1.598
-55.4476	-1.596
-53.6896	-1.598
-55.4476	-1.5977
-52.8691	-1.5977
-54.0412	-1.596
-53.924	-1.596
-52.1659	-1.596
-55.4476	-1.596
-53.1035	-1.5954
-53.2207	-1.5953
-51.6971	-1.5947
-52.8691	-1.595
-54.51	-1.5943
-54.0412	-1.5955
-52.0487	-1.5937
-52.9863	-1.596
-51.2283	-1.5952
-50.4079	-1.594
-50.1735	-1.5943
-50.9939	-1.5955
-52.7519	-1.596
-52.1659	-1.5939
-49.353	-1.5927
-51.2283	-1.5938
-53.5724	-1.5917
-53.3379	-1.5923
-51.4627	-1.5925
-49.939	-1.5935
-50.2907	-1.592
-49.5874	-1.592
-50.4079	-1.5935
-49.939	-1.5918
-51.2283	-1.5913
-50.5251	-1.5907
-50.2907	-1.5917
-50.8767	-1.5929
-49.8219	-1.5902
-50.4079	-1.5925
-48.8842	-1.591
-48.6498	-1.5919
-50.2907	-1.591
-50.9939	-1.5902
-48.8842	-1.5904
-49.0014	-1.591
-50.4079	-1.5903
-49.0014	-1.5882
-47.7122	-1.5887
-49.353	-1.5905
-50.4079	-1.5908
-48.767	-1.5899
-49.353	-1.588
-50.1735	-1.5904
-49.353	-1.5885
-49.4702	-1.588
-49.8219	-1.588
-47.7122	-1.588
-48.6498	-1.5887
-48.8842	-1.588
-48.8842	-1.588
-49.0014	-1.5873
-49.0014	-1.587
-49.2358	-1.5862
-49.1186	-1.5857
-47.9466	-1.5873
-51.6971	-1.5878
-49.353	-1.5873
-48.0638	-1.5859
-49.5874	-1.5852
-47.4778	-1.5865
-47.3606	-1.585
-50.2907	-1.5859
-48.6498	-1.5853
-47.4778	-1.5847
-49.353	-1.586
-50.2907	-1.5849
-48.4154	-1.5864
-48.181	-1.5832
-47.9466	-1.5849
-46.423	-1.5849
-46.5402	-1.584
-46.423	-1.5837
-49.2358	-1.5848
-49.353	-1.584
-47.2434	-1.5833
-47.595	-1.5845
-49.1186	-1.584
-47.7122	-1.5817
-48.4154	-1.583
-47.9466	-1.5818
-46.8918	-1.5825
-48.6498	-1.5825
-45.0165	-1.582
-47.4778	-1.5823
-46.5402	-1.5825
-47.4778	-1.5812
-46.5402	-1.5813
-49.8219	-1.582
-47.3606	-1.5799
-47.595	-1.5807
-46.5402	-1.5798
-48.0638	-1.5818
-45.4853	-1.5813
-43.9617	-1.5797
-45.2509	-1.5797
-45.7197	-1.5792
-45.9541	-1.5794
-50.8767	-1.58
-47.9466	-1.5783
-46.6574	-1.5792
-47.009	-1.58
-47.3606	-1.58
-47.1262	-1.579
-46.0714	-1.5789
-48.6498	-1.5772
-43.9617	-1.5783
-46.5402	-1.5788
-44.7821	-1.5773
